公司,父记录,招聘岗位,学历要求,是否笔试,专业要求,备注,工作地点,招聘届次,更新时间,企业类型,公告来源,开始时间,行业类别,截止时间,批次（暑期实习）,父记录 2,公告链接,是否笔试 (1),简历投递链接
致远科技,,BD专员广告投手 运营专员/助理 内容运营 会计助理 客服专员 人力资源专员 数据分析师 Java后端工程师,"本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,南昌 | 长沙 | 深圳,2026届,2026-03-22,民企,,2026-03-22,其他,招满为止,春招,,http://mp.weixin.qq.com/s?__biz=MzkxMjYyMTk4NQ==&mid=2247484963&idx=1&sn=6d2f278338053acedfc4625e732d6532&chksm=c10b6eedf67ce7fb6eadc74d12eb1e20d2a238e0ae155e3f0943844c62f57c79951a89eb120b#rd,,http://mp.weixin.qq.com/s?__biz=MzkxMjYyMTk4NQ==&mid=2247484963&idx=1&sn=6d2f278338053acedfc4625e732d6532&chksm=c10b6eedf67ce7fb6eadc74d12eb1e20d2a238e0ae155e3f0943844c62f57c79951a89eb120b#rd
昭关照明,,"国际业务开发（储备）,产品助理（跨境电商）","本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,上海,2026届,2026-03-22,民企,,2026-03-22,其他 | 电商跨境,招满为止,春招,,https://mp.weixin.qq.com/s/OWZxRUf2Pf4f80pgwBo6BQ,,https://app.mokahr.com/social-recruitment/wellmax/146179#/jobs
杭州未来光谱科技,,"机器学习研究员,基础设施研发工程师,C++开发工程师,软件开发工程师,财务助理,运营","本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,杭州,2026届,2026-03-22,民企,,2026-03-22,科技,招满为止,春招,,https://mp.weixin.qq.com/s/r3a8ogV_rq4xa8fEeWJaoQ?click_id=39&scene=1,,https://mp.weixin.qq.com/s/r3a8ogV_rq4xa8fEeWJaoQ?click_id=39&scene=1
美浦森半导体,,"技术支持工程师,器件测试工程师,失效分析工程师,产品工程师（电力电子、电气、微电子、电子、专业不限）","本科, 硕士, 博士",有笔试,/,/,深圳,2026届,2026-03-01,民企,,2026-03-01,科技 | 其他,招满为止,春招,,公告,,投递
卫星集团,,生产工艺岗 设备岗 外贸岗 电仪岗 大宗贸易岗 销售岗 采购岗 人力资源岗 SAP岗 数据建模岗 信息岗 财务岗,"本科, 硕士, 博士",有笔试 | 部分技术岗加试专业,/,/,连云港 | 嘉兴 | 平湖,2026届,2026-03-08,央国企,,2026-03-08,国企,招满为止,春招,,公告,,投递
象爻集团,,"行政总助,主播,拍摄剪辑，客户经理，财务助理，新媒体客户经理","本科, 硕士, 博士",未明确 | 不清楚是否有笔试,/,/,苏州,2026届 | 2025届 | 2024届,2026-03-11,民企,,2026-03-11,专业服务,招满为止,春招,,公告,,https://mp.weixin.qq.com/s?__biz=MzU2OTcyMzI5MQ==&mid=2247495181&idx=1&sn=26ea37761293da21a5945ba198f3a9ac&chksm=fcf8fef9cb8f77ef4b3d44b914645198cbbe6676c49ff81f09ec3da4111aeb92e0c310ad7a71#rd
智湖信息,,"热测试工程师,销售助理,市场助理（热能工程、机械工程、电子工程、自动化、工业自动化、计算机、市场营销、商务管理等）","本科, 硕士, 博士",含免笔试,/,/,上海,2026届,2026-03-16,民企,,2026-03-16,专业服务,2026/8/31,春招,,https://mp.weixin.qq.com/s/eCd3KzOI1CBxGc2GPnmLdw,,https://mp.weixin.qq.com/s/eCd3KzOI1CBxGc2GPnmLdw
江西铜业鑫瑞科技有限公司,,岗位名称，请查看公告附件,"本科, 硕士, 博士",有笔试,"专业要求,请查看公告附件",/,南昌,2026届,2026-01-23,央国企,,,能源/化工/环保,2026-01-31,春招专场,,https://www.offerleida.com/detail?id=35205,,https://mp.weixin.qq.com/s/VTwR9Cv6yDK3UIqOQ4y4Uw
全速集团,,"创意设计师,体验设计师,AI视觉设计师,客户拓展,动画视频师,人力资源专员","本科, 硕士, 博士",有笔试,/,/,上海 | 杭州 | 郑州 | 长沙 | 深圳 | 西安,2026届,2026-03-03,民企,,2026-03-03,互联网,招满为止,春招,,公告,,投递
钱大妈,,财务类发服类科技发类类人力资源类 商品类内控类客服类i营类,"本科, 硕士, 博士",未明确 | 不清楚是否有笔试,/,/,广州,2026届,2026-03-07,民企,,2026-03-07,酒店/餐饮,招满为止,春招,,公告,,投递
tap4fun,,策划运营类用户体验类美术类程序开发类;,"本科, 硕士, 博士",有笔试,/,/,成都,2026届,2026-03-14,民企,,2026-03-14,互联网/人工智能,2026/5/31,春招,,公告,,投递
用尚科技,,"实施工程师,JAVA开发工程师,前端开发工程师,技术支持助理,销售工程师,产品助理,数据处理工程师,项目经理,产品经理,省区营销经理,投标专员（计算机、软件工程、信息管理自动化、电子信息等）","本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,北京 | 天津 | 深圳 | 全国,2024届 | 2025届 | 2026届 | 2027届,2026-03-17,民企,,2026-03-17,科技,招满为止,春招 | 实习,,https://mp.weixin.qq.com/s/2agGLuOfhybf1NACZmdKNA,,https://mp.weixin.qq.com/s/2agGLuOfhybf1NACZmdKNA
鼎信通讯,,嵌入式软件工程师 硬件工程师 测试工程师销售经理 投标工程师,"本科, 硕士, 博士",未明确 | 不清楚是否有笔试,/,/,青岛,2026届,2026-03-02,民企,,2026-03-02,通信服务/电信运营,招满为止,春招,,公告,,投递
基克纳,,"供应链管培生,项目管培生,财务管培生,销售管培生（小语种）,品质管培生,生产管培生,生技管培生（供应链相关专业、理工科、会计、财务管理、日语、西班牙语、意大利语、波兰语、机械、材料、工科、机械设计、自......","本科, 硕士, 博士",未明确 | 不清楚是否有笔试,/,/,深圳 | 珠海 | 东莞 | 海外,2026届,2026-03-11,民企,,2026-03-11,科技,招满为止,春招,,公告,,投递
中信证券股份有限公司安徽分公司,,培训生,"本科, 硕士, 博士",/,,/,合肥 | 芜湖,2025 | 2026届,2026-01-03,央国企,,,金融业,尽快投递,春招专场,,https://www.offerleida.com/detail?id=34541,,https://careers.citics.com
中国船舶集团有限公司综合技术经济研究院-《舰船知识》,,实习编辑,"本科, 硕士, 博士",/,/,/,北京,2026 | 2027 | 2028届,2026-01-20,民企,,,文化/传媒/广告/体育,尽快投递,实习 | 寒假实习,,https://www.offerleida.com/detail?id=35113,,投递邮箱： | liubing@cimtec.net.cn
捷普,,"EIT HR,EIT Buyer,EIT Planner,EIT Test Engineer,EIT Digital Factory,EIT Line Supervisor,EIT Process Engineer,EIT Industrial Engineer,EIT Project Coordinator,EIT Warehouse Supervisor,EIT Manufacturing Engineer,EIT Purchasing,EIT Quality Engineer,EIT Facility Engineer","本科, 硕士, 博士",/,/,/,上海 | 广州 | 无锡,2026届,2026-02-08,外企,,2026-02-08,通信/电子/半导体,尽快投递,春招专场,,https://www.offerleida.com/detail?id=35515,,https://flows.beamery.com/jabil/2026-jabil-campus-recruitment-bs4vmbufjn
无涯投资,,量化策略研究员:交易系统工程师;基础架构工程师,"本科, 硕士, 博士",/,/,/,上海,2026届,2026-02-14,民企,,2026-02-14,金融,招满为止,春招,,公告,,投递
航空工业兴华,,"设计研发,工艺技术,驻地工程师,职能管理（专业要求：电气类、电子通信类、光电类、计算机类、自动化类、能动类、控制类、集成类、机械类、电磁类、力学类、企业管理类）","本科, 硕士, 博士",未明确 | 不清楚是否有笔试,/,/,天津 | 沈阳 | 青岛 | 成都 | 西安,2026届,2026-03-09,央国企,,2026-03-09,国企,招满为止,春招,,公告,,投递
超鹿运动,,门店管培生私人教练团课全职/兼职教练职能/技术岗,"本科, 硕士, 博士",未明确 | 不清楚是否有笔试,/,/,福州厦门广州福清泉州佛山深圳长沙武汉成都重庆南京杭州,2026届,2026-03-13,民企,,2026-03-13,房产经纪/汽车经销养护,招满为止,春招,,公告,,投递
万宝盛华,,灵活用工业务管培生(招聘方向服务方向销售方向人事运营方向),"本科, 硕士, 博士",未明确 | 不清楚是否有笔试,/,/,北京上海常熟,2026届,2026-03-13,外企,,2026-03-13,商务服务/咨询,招满为止,春招,,公告,,投递
奇瑞捷豹路虎,,产品开发类(产品定义造型设计工程开发 试验试制 项目管理) 制造与质量类(制造工程生产运营物流质量管理 职能支持类(财务 信息技术),"本科, 硕士, 博士",有笔试环节（基于过往招聘经验）,/,/,上海苏州常熟,2025届 | 2026届,2026-02-28,中外合资,,2026-02-28,车企/汽车零部件,招满为止,春招,,公告,,投递
湖北消费金融公司,,"职能类管培生,科技类管培生,数据类管培生,客户经理（法律、金融学、经济学、财务、计算机、电子信息、大数据、数学、统计、专业不限）","本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,北京 | 上海 | 武汉 | 深圳 | 成都 | 西安,2026届,2026-03-17,央国企,,2026-03-17,银行/金融,招满为止,春招,,http://mp.weixin.qq.com/s/apKmx-wStGy6dK8t0vP9uA,,https://hbxfjr.zhaopin.com/jobs/index.html
荃信生物,,研发临床技术职能商务,"本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,泰州 | 北京 | 上海,2026届,2026-03-18,民企,,2026-03-18,生物制药/生命科学,招满为止,春招,,https://mp.weixin.qq.com/s/g8H6RzM4E3xTX-lA5qKDmA?scene=1&click_id=54,,https://www.qyuns.net/col98/index.html
四川瑞可达连接系统有限公司,,质量工程师(5人);工程技术人员(5人),"本科, 硕士, 博士",/,智能科学与技术;工业设计;智能制造工程;机械工程;机械电子工程;机械设计制造及其自动化;材料成型及控制工程;汽车服务工程;车辆工程;质量管理工程,/,绵阳,2025 | 2026届,2026-01-03,民企,,,机械/制造业,尽快投递,春招专场,,https://www.offerleida.com/detail?id=34569,,投递邮箱： | yan.zhao@recodeal.com
中国电科54所,,通信技术类(博士和硕士)；计算机软件类(博士和硕士)；硬件设计类(博士和硕士)；自动化与机械类(博士和硕士)；管理类(硕士),"硕士, 博士",/,/,/,石家庄,2026届,2026-02-01,事业单位,,,教育/培训/科研,尽快投递,春招专场,,https://www.offerleida.com/detail?id=35374,,http://campus.51job.com/2026cetc54/about1.html
TP-Link联洲,,研发类营销类 制造类 供应链类人力资源类财务类,"本科, 硕士, 博士",/,/,/,深圳 成都 上海 东莞 海外,2026届,2026-02-11,民企,,2026-02-11,通信服务/电信运营,招满为止,春招,,公告,,投递
申万宏源集团及证券,,总部:投资银行、财富管理、战略发展、投资交易、机构销售、合规风控、资产管理、金融科技、财务运营、党群职能分公司:财富顾问岗子公司:涵盖研究、投资、期货等业务领域,"本科, 硕士, 博士",/,/,/,上海、北京、深圳、广州、成都、重庆、南京以及全国30+省、自治区和直辖市 | 覆盖100余个城市,2026届,2026-02-23,民企,,2026-02-22,金融,2026/3/26,春招,,公告,,投递
新浪微博,,集团管培生(算法/运营/产品) 算法/工程/测试/运维 运营/产品/职能,"本科, 硕士, 博士",部分岗位有笔试部分没有,/,/,北京,2026届,2026-03-04,民企,,2026-03-04,互联网,招满为止,春招,,公告,,投递
韶音科技,,研究类开发类产品类工程技术类营销运营类供应链运营类设计策划类品质类IT类职能类;,"本科, 硕士, 博士",部分岗位有笔试部分没有,/,/,深圳,2025届 | 2026届,2026-03-06,民企,,2026-03-06,电子/半导体,招满为止,春招,,公告,,投递
钛动科技,,产品研发类业务运营类商务销售类广告设计类 职能管理类项目管理类,"本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,广州 | 成都 | 北京 | 杭州 | 美国 | 墨西哥 | 马来西亚,2026届,2026-03-20,民企,,2026-03-20,文化/传媒,招满为止,春招,,https://mp.weixin.qq.com/s/P0t9ymDywW7QPgNDcX81RA,,https://app.mokahr.com/campus-recruitment/tec-do/41717?sourceToken=e84f5e1f268b393430cc76c14c91feba&sessionid=#/jobs?zhineng[0]=206852&zhineng[1]=205299&zhineng[2]=203359&zhineng[3]=206853&zhineng[4]=199191&zhineng[5]=235476&zhinen
航天电科,,信号处理设计岗中低频电路设计岗微波电路设计岗嵌入式开发岗系统设计岗结构设计岗装调工艺师产品工艺师信息化工程师,"本科, 硕士, 博士",免笔试（部分岗位）,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,贵阳 | 成都,2026届,2026-03-21,央国企,,2026-03-21,高端装备与国防科技/航空航天,招满为止,春招,,https://mp.weixin.qq.com/s/8lFuylJ_p5r_vgnta-wUog,,https://mp.weixin.qq.com/s/8lFuylJ_p5r_vgnta-wUog
上海造币有限公司,,机电工程岗(生产现场电气系统的设计开发、安装调试和维护；解决生产过程中电气系统的技术问题、为生产提供技术保障。生产现场机械（冲压设备、自动化生产线）设备改造和维护；解决生产过程中机械设备的技术问题、为生产提供技术保障。);全新媒体电商岗;全信息技术岗,"本科, 硕士, 博士",/,/,/,上海,2026届,2026-01-09,央国企,,,机械/制造业,尽快投递,春招专场,,https://www.offerleida.com/detail?id=34793,,投递邮箱: | sh_mint@126.com
捷盟智能,,"机械工程师(仿真/工艺/结构设计),电气工程师(编程/调试/设计/工艺),销售代表/经理,售后工程师(安装调试),装配电工/钳工","大专, 本科, 硕士, 博士",有笔试,/,/,广州,2026届,2026-01-07,民企,,,机械/制造业,尽快投递,春招专场,,https://www.offerleida.com/detail?id=34723,,https://mp.weixin.qq.com/s/udzrY6z1nmrYJHtLnSGIxA
华夏艺术中心,,艺术中心剧场服务（实习生）,"大专, 本科, 硕士, 博士",/,媒体运营相关专业,/,深圳,2026 | 2027 | 2028届,2026-01-03,民企,,,文化/传媒/广告/体育,尽快投递,实习,,https://www.offerleida.com/detail?id=34599,,https://mp.weixin.qq.com/s/K5NIHJ3kDAo4QnB6sn8JbQ
赣州市赣县区文化旅游投资集团有限公司,,会计；法务；产品设计及艺术；工艺（生产、管理）；会计（审计）,"本科, 硕士, 博士",/,/,/,赣州,不限届,2026-01-23,央国企,,,能源/化工/环保,2026-01-31,社招,,https://www.offerleida.com/detail?id=35204,,https://zk.gzrcrx.com/examinationRegistration/recruitmentService
腾讯天美J3工作室,,后台开发;测试开发;游戏客户端开发;游戏引擎开发;游戏策划培训生;游戏发行/运营培训生;项目管理;2D场景设计;3D场景设计;3D动作设计;技术美术;多媒体设计;特效设计;2D角色设计;2D角色设计;视觉设计,"本科, 硕士, 博士",/,/,/,上海 | 北京 | 广州 | 成都 | 杭州 | 武汉 | 深圳,2026届,2026-01-28,民企,,,IT/互联网/游戏,尽快投递,春招专场 | 秋招补招,,https://www.offerleida.com/detail?id=35275,,https://mp.weixin.qq.com/s/JAmfaCYegpP0l1k-sIIFEw
雅诗兰黛,,"品牌市场部暑期实习生,人力资源实习生,GSM 全球采购暑期实习生","本科, 硕士, 博士",未明确 | 不清楚是否有笔试,/,/,上海,2027届,2026-03-01,外企,,2026-03-01,外企 | 消费,2026/4/3,实习,,公告,,投递
奕斯伟材料,,西安:技术企划工程师 设备工艺工程师工艺研发工程师关务专员采购专员;武汉:设备工艺工程师 厂建动力工程师品质管理工程师 智能制造工程师 IT工程师IE工程师品牌专员关务专员,"本科, 硕士, 博士",未明确 | 不清楚是否有笔试,/,/,西安 武汉,2026届,2026-03-06,民企,,2026-03-06,电子/半导体,招满为止,春招,,公告,,投递
黑龙江烟草工业有限责任公司,,生产操作类岗位;共计招聘58人。具体招聘人数及专业等要求见《黑龙江烟草工业有限责任公司2026年招聘计划表》(附件1),"本科, 硕士, 博士",有笔试,/,/,哈尔滨牡丹江,2026届,2026-03-09,央国企,,2026-03-09,烟草制品/烟草制造业,2026/3/18,春招,,公告,,投递
上海精智实业股份有限公司,,财务实习生;质量工程师实习生;模具设计工程师实习生,"大专, 本科, 硕士, 博士",/,/,/,上海,2026 | 2027 | 2028届,2026-01-25,民企,,,机械/制造业,尽快投递,寒假实习,,https://www.offerleida.com/detail?id=35220,,投递邮箱： | chaiyu@jingzhi-sh.com
小鹏汽车,,GIC Full-Time Position，GIC Internship，RC Full-Time Position，RC Internship,"本科, 硕士, 博士",部分岗位有笔试部分没有,/,/,海外,2026届,2026-02-24,民企,,2026-02-24,新能源,招满为止,春招,,公告,,投递
施耐德电气,,HR Trainee（HR 培训生）、海外业务拓展培训生、Associate Consultant 助理顾问（多个方向）、销售工程师、项目执行工程师、电气设计工程师、服务工程师、体系管理工程师、技术销......,"本科, 硕士, 博士",施耐德电气2026校招部分岗位有笔试部分没有,/,/,北京 | 上海 | 无锡 | 杭州 | 厦门 | 广州 | 深圳 | 重庆 | 成都 | 西安,2026届 | 2025届,2026-03-03,外企,,2026-03-03,外企,招满为止,春招,,公告,,投递
